,M1US000V Index,M2US000$ Index,SPTRSGX Index,SP5LVIT Index,LT01TRUU Index,SPX Index
1994-02-28,-0.0230579994846135,-0.0027769999379292,-0.0028789999356493,-0.0129349997108802,-0.0061639998622238,-0.0122909997252747
1994-03-31,-0.0147669996699318,-0.0227889994906261,-0.0224319994986057,-0.0129109997114166,-0.0050049998881295,-0.0197779995579272
1994-04-29,0.0183539995897561,-0.0120869997298344,0.0035839999198913,0.0138399996906518,-0.0037909999152645,0.0118699997346848
1994-05-31,0.0171049996176734,0.0173579996120184,0.0169999996200203,-0.0063699998576194,0.0013749999692663,0.0171319996170699
1994-06-30,-0.024423999454081,-0.0393629991201683,-0.0211889995263889,-0.0193769995668902,0.0025099999438971,-0.0243519994556903
1994-07-29,0.0357689992005005,0.0340269992394372,0.0341829992359504,0.0404629990955814,0.0089599997997283,0.0350999992154538
1994-08-31,0.0139269996887072,0.0321589992811903,0.0385379991386085,0.014481999676302,0.003240999927558,0.0262839994125068
1994-09-30,-0.0510729988584294,-0.0460259989712387,-0.0311649993034079,-0.0467619989547878,-0.0022869999488815,-0.0411759990796446
1994-10-31,0.0316219992931932,0.0253769994327798,0.0301659993257373,0.0224559994980692,0.0022989999486133,0.0292989993451163
1994-11-30,-0.0235359994739294,-0.0332749992562457,-0.0165309996305033,-0.0204319995433092,-0.0041729999067261,-0.0202469995474442
1994-12-30,0.030871999309957,0.0367149991793558,0.036935999174416,0.0429199990406632,0.00198999995552,0.0344089992308989
1995-01-31,0.0335459992501884,0.0173239996127784,0.0294819993410259,0.0338139992441982,0.0136019996959716,0.0305799993164837
1995-02-28,0.0295739993389695,0.0304149993201717,0.0279569993751123,0.0284999993629753,0.0135999996960163,0.0279049993762746
1995-03-31,0.0297179993357509,0.0502199988774955,0.0355909992044791,0.022885999488458,0.0056259998742491,0.0337139992464333
1995-04-28,0.0019039999574422,0.0110629997527226,-0.0055119998767971,-0.013941999688372,0.0089189998006448,-0.0022269999502226
1995-05-31,0.0507619988653808,0.0479419989284128,0.0463899989631027,0.0498379988860339,0.0172009996155276,0.0506069988688454
1995-06-30,0.016636999628134,0.0394289991186931,0.0398469991093501,0.010936999755539,0.0054489998782053,0.0247909994458779
1995-07-31,0.0351899992134422,0.0325709992719814,0.0291109993493184,0.0236929994704201,0.0039119999125599,0.0303439993217587
1995-08-31,-0.0109409997554495,-0.0241439994603395,-0.0214579995203763,-0.0046369998963549,0.0059059998679906,-0.0158319996461272
1995-09-29,0.0324419992748648,0.0461579989682883,0.0480229989266023,0.0440589990152046,0.0048679998911917,0.0408079990878701
1995-10-31,-0.0133779997009784,0.0293779993433505,0.0089619997996836,0.0104269997669383,0.0083319998137652,-0.0026469999408349
1995-11-30,0.0635099985804408,0.0409249990852549,0.0485929989138618,0.0591289986783638,0.0085639998085796,0.0565449987361207
1995-12-29,0.0257929994234815,0.0130189997090026,0.015354999656789,0.0378039991550147,0.0076109998298808,0.0232699994798749
1996-01-31,0.0398069991102442,0.0574459987159818,0.0465989989584311,0.0394669991178438,0.0085449998090043,0.0423419990535825
1996-02-29,0.0048249998921528,0.0149349996661767,0.0065049998546019,-0.0055979998748749,-0.0039309999121353,0.0066189998520538
1996-03-29,0.0106489997619763,-0.0075939998302608,-0.0106389997621998,0.0025799999423325,-0.000866999980621,0.0030749999312683
1996-04-30,0.013378999700956,0.0180189995972439,0.0189949995754286,0.0001459999967366,0.0009469999788329,0.0142189996821805
1996-05-31,0.0163989996334537,0.0465119989603757,0.042621999047324,0.0196609995605424,0.0022369999499991,0.0315159992955625
1996-06-28,-0.0072129998387768,0.0101889997722581,0.0082429998157545,0.0227149994922801,0.0072399998381733,-0.000377999991551
1996-07-31,-0.0378139991547912,-0.0313519992992281,-0.0386229991367086,-0.038604999137111,0.0038369999142363,-0.036753999178484
1996-08-30,0.0226479994937777,0.0207229995368048,0.0094899997878819,0.0147779996696859,0.0036759999178349,0.0157509996479377
1996-09-30,0.035596999204345,0.0627939985964447,0.0644879985585808,0.0317649992899969,0.0090749997971579,0.051423998850584
1996-10-31,0.0183049995908513,0.0145429996749386,0.0053129998812451,0.0225819994952529,0.0112689997481182,0.011112999751605
1996-11-29,0.0828849981473758,0.0793429982265457,0.0822779981609433,0.0637299985755235,0.0073789998350664,0.0831269981419667
1996-12-31,-0.0020909999532625,-0.0101659997727721,-0.0080449998201802,-0.0030269999323412,0.0001299999970942,-0.004724999894388
1997-01-31,0.0344559992298483,0.0732259983632713,0.0603049986520782,0.0058749998686835,0.0047239998944103,0.0446999990008771
1997-02-28,0.0205309995410963,0.0183129995906725,0.0240069994634017,0.0313339992996305,0.0023759999468922,0.0234729994753375
1997-03-31,-0.023391999477148,-0.0430889990368858,-0.0359929991954937,-0.022305999501422,-0.0007819999825209,-0.0295199993401765
1997-04-30,0.0498849988849833,0.1091369975605979,0.0895649979980662,0.0306479993149638,0.0081359998181462,0.0683179984729737
1997-05-30,0.0453389989865943,0.0393139991212636,0.0472729989433661,0.0480079989269375,0.0069609998444095,0.0488719989076256
1997-06-30,0.037694999157451,0.0554429987607523,0.0510689988585188,0.0486159989133477,0.006893999845907,0.0451819989901036
1997-07-31,0.0842299981173127,0.0826749981520697,0.0769799982793629,0.0549599987715482,0.0111149997515603,0.0773299982715398
1997-08-29,-0.038854999131523,-0.0683159984730184,-0.0594199986718595,-0.0273789993880316,0.0008899999801069,-0.0488579989079386
1997-09-30,0.0519009988399222,0.0499269988840445,0.0459779989723116,0.0458529989751055,0.0076309998294338,0.0497499988880008
